district,missing_date
3D,2020-11-11
3D,2020-11-12
3D,2020-11-13
3D,2020-11-14
3D,2020-11-15
3D,2020-11-16
3D,2020-11-17
3D,2020-11-18
3D,2020-11-19
3D,2020-11-20
3D,2020-11-21
3D,2020-11-22
3D,2020-11-23
3D,2020-11-24
3D,2020-11-25
3D,2020-11-26
3D,2020-11-27
3D,2020-11-28
3D,2020-11-29
3D,2020-11-30
3D,2020-12-01
3D,2020-12-02
3D,2020-12-03
3D,2020-12-04
3D,2020-12-05
3D,2020-12-06
3D,2020-12-07
3D,2020-12-08
3D,2020-12-09
3D,2020-12-10
3D,2020-12-11
3D,2020-12-12
3D,2020-12-13
3D,2020-12-14
3D,2020-12-15
3D,2020-12-16
3D,2020-12-17
3D,2020-12-18
3D,2020-12-19
3D,2020-12-20
3D,2020-12-21
3D,2020-12-22
3D,2020-12-23
3D,2020-12-24
3D,2020-12-25
3D,2020-12-26
3D,2020-12-27
3D,2020-12-28
3D,2020-12-29
3D,2020-12-30
3D,2020-12-31
3D,2021-01-01
3D,2021-01-02
3D,2021-01-03
3D,2021-01-04
3D,2021-01-05
3D,2021-01-06
3D,2021-01-07
3D,2021-01-08
3D,2021-01-09
3D,2021-01-10
3D,2021-01-11
3D,2021-01-12
3D,2021-01-13
3D,2021-01-14
3D,2021-01-15
3D,2021-01-16
3D,2021-01-17
3D,2021-01-18
3D,2021-01-19
3D,2021-01-20
3D,2021-01-21
3D,2021-01-22
3D,2021-01-23
3D,2021-01-24
3D,2021-01-25
3D,2021-01-26
3D,2021-01-27
3D,2021-01-28
3D,2021-01-29
3D,2021-01-30
3D,2021-01-31
3D,2021-02-01
3D,2021-02-02
3D,2021-02-03
3D,2021-02-04
3D,2021-02-05
3D,2021-02-06
3D,2021-02-07
3D,2021-02-08
3D,2021-02-09
3D,2021-02-10
3D,2021-02-11
3D,2021-02-12
3D,2021-02-13
3D,2021-02-14
3D,2021-02-15
3D,2021-02-16
3D,2021-02-17
